2024-04-02 21:25:59,162 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:25:59,162 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:25:59,172 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:25:59,173 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:25:59,173 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:25:59,180 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:25:59,196 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:25:59,196 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:25:59,202 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:25:59,416 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:25:59,416 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:25:59,422 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:25:59,424 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:25:59,424 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:25:59,431 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:25:59,443 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:25:59,444 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:25:59,450 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:25:59,462 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:25:59,462 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:25:59,469 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:25:59,480 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:25:59,480 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:25:59,487 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:25:59,509 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:25:59,509 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:25:59,516 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:25:59,517 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:25:59,517 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:25:59,525 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:00,232 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:00,232 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:00,238 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:00,239 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:00,239 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:00,245 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:00,258 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:00,258 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
2024-04-02 21:26:00,264 INFO    MainThread:1437 [wandb_init.py:_resume_backend():442] resuming backend
2024-04-02 21:26:00,279 INFO    MainThread:1437 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-04-02 21:26:00,279 INFO    MainThread:1437 [wandb_init.py:_pause_backend():437] pausing backend
